sentence,stimID,source,sentenceType,itemType,grammatical,notes
The pharmacist who the button that the stranger saw troubled questioned the customer.,19,"Vasishth, Suckow, Lewis & Kern (2010) Short-term forgetting in sentence comprehension:Crosslinguistic evidence from verb-final structures",embedding,missing1,FALSE,
The pharmacist who the optician that the stranger saw questioned the customer.,19,"Vasishth, Suckow, Lewis & Kern (2010) Short-term forgetting in sentence comprehension:Crosslinguistic evidence from verb-final structures",embedding,missing2,FALSE,
The pharmacist who the button that the stranger saw questioned the customer.,19,"Vasishth, Suckow, Lewis & Kern (2010) Short-term forgetting in sentence comprehension:Crosslinguistic evidence from verb-final structures",embedding,missing3,FALSE,
The cleaner who the janitor that the doctor recognised hurt surprised the patient.,20,"Vasishth, Suckow, Lewis & Kern (2010) Short-term forgetting in sentence comprehension:Crosslinguistic evidence from verb-final structures",embedding,full ,TRUE,
The cleaner who the ball that the doctor recognised hurt surprised the patient.,20,"Vasishth, Suckow, Lewis & Kern (2010) Short-term forgetting in sentence comprehension:Crosslinguistic evidence from verb-final structures",embedding,missing1,FALSE,
The cleaner who the janitor that the doctor recognised surprised the patient.,20,"Vasishth, Suckow, Lewis & Kern (2010) Short-term forgetting in sentence comprehension:Crosslinguistic evidence from verb-final structures",embedding,missing2,FALSE,
The cleaner who the ball that the doctor recognised surprised the patient.,20,"Vasishth, Suckow, Lewis & Kern (2010) Short-term forgetting in sentence comprehension:Crosslinguistic evidence from verb-final structures",embedding,missing3,FALSE,
The dancer who the singer that the bystander admired hurt tipped the doorman.,21,"Vasishth, Suckow, Lewis & Kern (2010) Short-term forgetting in sentence comprehension:Crosslinguistic evidence from verb-final structures",embedding,full ,TRUE,
The dancer who the shoe that the bystander admired hurt tipped the doorman.,21,"Vasishth, Suckow, Lewis & Kern (2010) Short-term forgetting in sentence comprehension:Crosslinguistic evidence from verb-final structures",embedding,missing1,FALSE,
The dancer who the singer that the bystander admired tipped the doorman.,21,"Vasishth, Suckow, Lewis & Kern (2010) Short-term forgetting in sentence comprehension:Crosslinguistic evidence from verb-final structures",embedding,missing2,FALSE,
The dancer who the shoe that the bystander admired tipped the doorman.,21,"Vasishth, Suckow, Lewis & Kern (2010) Short-term forgetting in sentence comprehension:Crosslinguistic evidence from verb-final structures",embedding,missing3,FALSE,
The artist who the sportsman that the guard shouted at annoyed instructed the newscaster.,22,"Vasishth, Suckow, Lewis & Kern (2010) Short-term forgetting in sentence comprehension:Crosslinguistic evidence from verb-final structures",embedding,full ,TRUE,
The artist who the computer that the guard shouted at annoyed instructed the newscaster.,22,"Vasishth, Suckow, Lewis & Kern (2010) Short-term forgetting in sentence comprehension:Crosslinguistic evidence from verb-final structures",embedding,missing1,FALSE,
The artist who the sportsman that the guard shouted at instructed the newscaster.,22,"Vasishth, Suckow, Lewis & Kern (2010) Short-term forgetting in sentence comprehension:Crosslinguistic evidence from verb-final structures",embedding,missing2,FALSE,
The artist who the computer that the guard shouted at instructed the newscaster.,22,"Vasishth, Suckow, Lewis & Kern (2010) Short-term forgetting in sentence comprehension:Crosslinguistic evidence from verb-final structures",embedding,missing3,FALSE,
The clerk who the bureaucrat that the visitor forgotten about helped annoyed the neighbour.,23,"Vasishth, Suckow, Lewis & Kern (2010) Short-term forgetting in sentence comprehension:Crosslinguistic evidence from verb-final structures",embedding,full ,TRUE,
The clerk who the walking stick that the visitor forgotten about helped annoyed the neighbour.,23,"Vasishth, Suckow, Lewis & Kern (2010) Short-term forgetting in sentence comprehension:Crosslinguistic evidence from verb-final structures",embedding,missing1,FALSE,
The clerk who the bureaucrat that the visitor forgotten about annoyed the neighbour.,23,"Vasishth, Suckow, Lewis & Kern (2010) Short-term forgetting in sentence comprehension:Crosslinguistic evidence from verb-final structures",embedding,missing2,FALSE,
The clerk who the walking stick that the visitor forgotten about annoyed the neighbour.,23,"Vasishth, Suckow, Lewis & Kern (2010) Short-term forgetting in sentence comprehension:Crosslinguistic evidence from verb-final structures",embedding,missing3,FALSE,
The son who the father that the teacher saw disturbed visited the grandfather.,24,"Vasishth, Suckow, Lewis & Kern (2010) Short-term forgetting in sentence comprehension:Crosslinguistic evidence from verb-final structures",embedding,full ,TRUE,
The son who the loudspeaker that the teacher saw disturbed visited the grandfather.,24,"Vasishth, Suckow, Lewis & Kern (2010) Short-term forgetting in sentence comprehension:Crosslinguistic evidence from verb-final structures",embedding,missing1,FALSE,
The son who the father that the teacher saw visited the grandfather.,24,"Vasishth, Suckow, Lewis & Kern (2010) Short-term forgetting in sentence comprehension:Crosslinguistic evidence from verb-final structures",embedding,missing2,FALSE,
The son who the loudspeaker that the teacher saw visited the grandfather.,24,"Vasishth, Suckow, Lewis & Kern (2010) Short-term forgetting in sentence comprehension:Crosslinguistic evidence from verb-final structures",embedding,missing3,FALSE,
The conductor who the choirmaster that the worker ignored hit berated the musician.,25,"Vasishth, Suckow, Lewis & Kern (2010) Short-term forgetting in sentence comprehension:Crosslinguistic evidence from verb-final structures",embedding,full ,TRUE,
The conductor who the sponge that the worker ignored hit berated the musician.,25,"Vasishth, Suckow, Lewis & Kern (2010) Short-term forgetting in sentence comprehension:Crosslinguistic evidence from verb-final structures",embedding,missing1,FALSE,
The conductor who the choirmaster that the worker ignored berated the musician.,25,"Vasishth, Suckow, Lewis & Kern (2010) Short-term forgetting in sentence comprehension:Crosslinguistic evidence from verb-final structures",embedding,missing2,FALSE,
The conductor who the sponge that the worker ignored berated the musician.,25,"Vasishth, Suckow, Lewis & Kern (2010) Short-term forgetting in sentence comprehension:Crosslinguistic evidence from verb-final structures",embedding,missing3,FALSE,
The defence who the prosecutor that the spy looked at surprised convinced the judge.,26,"Vasishth, Suckow, Lewis & Kern (2010) Short-term forgetting in sentence comprehension:Crosslinguistic evidence from verb-final structures",embedding,full ,TRUE,
The defence who the knife that the spy looked at surprised convinced the judge.,26,"Vasishth, Suckow, Lewis & Kern (2010) Short-term forgetting in sentence comprehension:Crosslinguistic evidence from verb-final structures",embedding,missing1,FALSE,
The defence who the prosecutor that the spy looked at convinced the judge.,26,"Vasishth, Suckow, Lewis & Kern (2010) Short-term forgetting in sentence comprehension:Crosslinguistic evidence from verb-final structures",embedding,missing2,FALSE,
The defence who the knife that the spy looked at convinced the judge.,26,"Vasishth, Suckow, Lewis & Kern (2010) Short-term forgetting in sentence comprehension:Crosslinguistic evidence from verb-final structures",embedding,missing3,FALSE,
The cousin who the brother that the peasant described pleased hated the uncle.,27,"Vasishth, Suckow, Lewis & Kern (2010) Short-term forgetting in sentence comprehension:Crosslinguistic evidence from verb-final structures",embedding,full ,TRUE,
The cousin who the diamond that the peasant described pleased hated the uncle.,27,"Vasishth, Suckow, Lewis & Kern (2010) Short-term forgetting in sentence comprehension:Crosslinguistic evidence from verb-final structures",embedding,missing1,FALSE,
The cousin who the brother that the peasant described hated the uncle.,27,"Vasishth, Suckow, Lewis & Kern (2010) Short-term forgetting in sentence comprehension:Crosslinguistic evidence from verb-final structures",embedding,missing2,FALSE,
The cousin who the diamond that the peasant described hated the uncle.,27,"Vasishth, Suckow, Lewis & Kern (2010) Short-term forgetting in sentence comprehension:Crosslinguistic evidence from verb-final structures",embedding,missing3,FALSE,
The painter who the musician that the friend liked disturbed admired the poet.,28,"Vasishth, Suckow, Lewis & Kern (2010) Short-term forgetting in sentence comprehension:Crosslinguistic evidence from verb-final structures",embedding,full ,TRUE,
The painter who the film that the friend liked disturbed admired the poet.,28,"Vasishth, Suckow, Lewis & Kern (2010) Short-term forgetting in sentence comprehension:Crosslinguistic evidence from verb-final structures",embedding,missing1,FALSE,
The painter who the musician that the friend liked admired the poet.,28,"Vasishth, Suckow, Lewis & Kern (2010) Short-term forgetting in sentence comprehension:Crosslinguistic evidence from verb-final structures",embedding,missing2,FALSE,
The painter who the film that the friend liked admired the poet.,28,"Vasishth, Suckow, Lewis & Kern (2010) Short-term forgetting in sentence comprehension:Crosslinguistic evidence from verb-final structures",embedding,missing3,FALSE,
The slogan on the poster is offensive to vegetarians.,29,Bock and Miller (1991) Broken Agreement (with original ‘tail’ clauses),agreementattraction,valid_singular,TRUE,"Bock and Miller supply only the ‘head’, the point of their experiment was to elicit completions from participants and then count error types. So the ‘tails’ here are original confabulations following their descriptions of the error types."
The slogan on the posters are offensive to vegetarians.,29,Bock and Miller (1991) Broken Agreement (with original ‘tail’ clauses),agreementattraction,natural_error,FALSE,"Originals have long and short forms, no difference found in original exp but very small n (and errors are rare) so inconclusive underpowered null. So here, some long some short versions used."
The slogans on the poster is offensive to vegetarians.,29,Bock and Miller (1991) Broken Agreement (with original ‘tail’ clauses),agreementattraction,unnatural_error,FALSE,
The slogans on the posters are offensive to vegetarians.,29,Bock and Miller (1991) Broken Agreement (with original ‘tail’ clauses),agreementattraction,valid_plural,TRUE,
The label on the bottle is quite hard to read.,30,Bock and Miller (1991) Broken Agreement (with original ‘tail’ clauses),agreementattraction,valid_singular,TRUE,
The label on the bottles are quite hard to read.,30,Bock and Miller (1991) Broken Agreement (with original ‘tail’ clauses),agreementattraction,natural_error,FALSE,
The labels on the bottle is quite hard to read.,30,Bock and Miller (1991) Broken Agreement (with original ‘tail’ clauses),agreementattraction,unnatural_error,FALSE,
The labels on the bottles are quite hard to read.,30,Bock and Miller (1991) Broken Agreement (with original ‘tail’ clauses),agreementattraction,valid_plural,TRUE,
The name on the enormous highway billboard belongs to a local real-estate agent.,31,Bock and Miller (1991) Broken Agreement (with original ‘tail’ clauses),agreementattraction,valid_singular,TRUE,
The name on the enormous highway billboards belong to a local real-estate agent.,31,Bock and Miller (1991) Broken Agreement (with original ‘tail’ clauses),agreementattraction,natural_error,FALSE,
The names on the enormous highway billboards belongs to a local real-estate agent.,31,Bock and Miller (1991) Broken Agreement (with original ‘tail’ clauses),agreementattraction,unnatural_error,FALSE,
The names on the enormous highway billboards belong to a local real-estate agent.,31,Bock and Miller (1991) Broken Agreement (with original ‘tail’ clauses),agreementattraction,valid_plural,TRUE,
The picture on the postcard is of a Dutch farm.,32,Bock and Miller (1991) Broken Agreement (with original ‘tail’ clauses),agreementattraction,valid_singular,TRUE,
The picture on the postcards are of a Dutch farm.,32,Bock and Miller (1991) Broken Agreement (with original ‘tail’ clauses),agreementattraction,natural_error,FALSE,
The pictures on the postcard is of a Dutch farm.,32,Bock and Miller (1991) Broken Agreement (with original ‘tail’ clauses),agreementattraction,unnatural_error,FALSE,
The pictures on the postcards are of a Dutch farm.,32,Bock and Miller (1991) Broken Agreement (with original ‘tail’ clauses),agreementattraction,valid_plural,TRUE,
The problem in the wealthy suburban school has been brewing for years.,33,Bock and Miller (1991) Broken Agreement (with original ‘tail’ clauses),agreementattraction,valid_singular,TRUE,
The problem in the wealthy suburban schools have been brewing for years.,33,Bock and Miller (1991) Broken Agreement (with original ‘tail’ clauses),agreementattraction,natural_error,FALSE,
The problems in the wealthy suburban school has been brewing for years.,33,Bock and Miller (1991) Broken Agreement (with original ‘tail’ clauses),agreementattraction,unnatural_error,FALSE,
The problems in the wealthy suburban schools have been brewing for years.,33,Bock and Miller (1991) Broken Agreement (with original ‘tail’ clauses),agreementattraction,valid_plural,TRUE,
The defect in the car is not obvious except to experts.,34,Bock and Miller (1991) Broken Agreement (with original ‘tail’ clauses),agreementattraction,valid_singular,TRUE,
The defect in the cars are not obvious except to experts.,34,Bock and Miller (1991) Broken Agreement (with original ‘tail’ clauses),agreementattraction,natural_error,FALSE,
The defects in the car is not obvious except to experts.,34,Bock and Miller (1991) Broken Agreement (with original ‘tail’ clauses),agreementattraction,unnatural_error,FALSE,
The defects in the cars are not obvious except to experts.,34,Bock and Miller (1991) Broken Agreement (with original ‘tail’ clauses),agreementattraction,valid_plural,TRUE,
The mistake in the program is small but important.,35,Bock and Miller (1991) Broken Agreement (with original ‘tail’ clauses),agreementattraction,valid_singular,TRUE,
The mistake in the programs are small but important.,35,Bock and Miller (1991) Broken Agreement (with original ‘tail’ clauses),agreementattraction,natural_error,FALSE,
The mistakes in the program is small but important.,35,Bock and Miller (1991) Broken Agreement (with original ‘tail’ clauses),agreementattraction,unnatural_error,FALSE,
The mistakes in the programs are small but important.,35,Bock and Miller (1991) Broken Agreement (with original ‘tail’ clauses),agreementattraction,valid_plural,TRUE,
